Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin
Second Class,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Copiers,1999.96,4,0.0,899.982,0.44999999999999996
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,12.84,3,0.0,5.778,0.44999999999999996
Standard Class,Consumer,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Envelopes,251.58,7,0.0,113.211,0.44999999999999996
First Class,Corporate,United States,Seattle,Washington,98105,West,Office Supplies,Paper,5.28,1,0.0,2.376,0.44999999999999996
First Class,Corporate,United States,Sandy Springs,Georgia,30328,South,Technology,Phones,34.75,5,0.0,15.6375,0.44999999999999996
Second Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,0.44999999999999996
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,19.98,2,0.0,8.991,0.44999999999999996
Standard Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,69.93,7,0.0,31.4685,0.44999999999999996
Standard Class,Corporate,United States,Lafayette,Indiana,47905,Central,Office Supplies,Binders,735.98,2,0.0,331.191,0.44999999999999996
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,47.52,9,0.0,21.384,0.44999999999999996
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Paper,17.12,4,0.0,7.704,0.44999999999999996
Standard Class,Consumer,United States,Oceanside,New York,11572,East,Furniture,Furnishings,18.96,2,0.0,8.532,0.44999999999999996
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,154.9,5,0.0,69.705,0.44999999999999996
Standard Class,Corporate,United States,Huntington Beach,California,92646,West,Office Supplies,Paper,10.56,2,0.0,4.752,0.44999999999999996
Standard Class,Consumer,United States,Fresno,California,93727,West,Office Supplies,Paper,5.98,1,0.0,2.691,0.44999999999999996
First Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,8.56,2,0.0,3.852,0.44999999999999996
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,24.96,4,0.0,11.232,0.44999999999999996
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556,0.44999999999999996
Standard Class,Consumer,United States,Visalia,California,93277,West,Office Supplies,Paper,34.24,8,0.0,15.408,0.44999999999999996
First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Paper,154.9,5,0.0,69.705,0.44999999999999996
Standard Class,Home Office,United States,Dubuque,Iowa,52001,Central,Office Supplies,Binders,15.24,4,0.0,6.858,0.44999999999999996
Standard Class,Corporate,United States,Broken Arrow,Oklahoma,74012,Central,Office Supplies,Binders,11.88,2,0.0,5.346,0.44999999999999996
Standard Class,Consumer,United States,Middletown,Connecticut,6457,East,Office Supplies,Paper,7.78,1,0.0,3.501,0.44999999999999996
Second Class,Home Office,United States,Indianapolis,Indiana,46203,Central,Technology,Copiers,999.98,2,0.0,449.991,0.44999999999999996
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Binders,11.88,2,0.0,5.346,0.44999999999999996
Second Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Office Supplies,Binders,40.2,5,0.0,18.09,0.44999999999999996
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.691,0.44999999999999996
Second Class,Consumer,United States,Los Angeles,California,90036,West,Office Supplies,Paper,17.12,4,0.0,7.704,0.44999999999999996
Same Day,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,12.48,2,0.0,5.616,0.44999999999999996
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,12.74,7,0.0,5.733,0.44999999999999996
Standard Class,Home Office,United States,Great Falls,Montana,59405,West,Office Supplies,Paper,11.96,2,0.0,5.382,0.44999999999999996
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Furniture,Furnishings,18.96,2,0.0,8.532,0.44999999999999996
Same Day,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,7.78,1,0.0,3.501,0.44999999999999996
Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Paper,21.12,4,0.0,9.504,0.44999999999999996
Standard Class,Consumer,United States,San Bernardino,California,92404,West,Office Supplies,Paper,29.96,7,0.0,13.482,0.44999999999999996
Standard Class,Corporate,United States,Saint Charles,Missouri,63301,Central,Office Supplies,Paper,10.56,2,0.0,4.752,0.44999999999999996
Standard Class,Corporate,United States,San Diego,California,92024,West,Office Supplies,Paper,8.56,2,0.0,3.852,0.44999999999999996
Second Class,Corporate,United States,Iowa City,Iowa,52240,Central,Office Supplies,Paper,9.99,1,0.0,4.4955,0.44999999999999996
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,8.56,2,0.0,3.852,0.44999999999999996
First Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Paper,4.28,1,0.0,1.926,0.44999999999999996
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Binders,40.2,5,0.0,18.09,0.44999999999999996
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Binders,735.98,2,0.0,331.191,0.44999999999999996
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2,0.0,4.752,0.44999999999999996
Second Class,Corporate,United States,Meriden,Connecticut,6450,East,Office Supplies,Art,4.56,2,0.0,2.0064,0.44000000000000006
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,1265.85,3,0.0,556.974,0.44000000000000006
Standard Class,Home Office,United States,Concord,New Hampshire,3301,East,Technology,Accessories,29.99,1,0.0,13.1956,0.44000000000000006
Standard Class,Corporate,United States,New York City,New York,10024,East,Furniture,Furnishings,10.02,3,0.0,4.4088,0.44000000000000006
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Furniture,Furnishings,20.04,6,0.0,8.8176,0.44000000000000006
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,10.02,3,0.0,4.4088,0.44000000000000006
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,47.12,8,0.0,20.7328,0.44000000000000006
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,119.96,4,0.0,52.7824,0.44000000000000006
Same Day,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,59.98,2,0.0,26.3912,0.44000000000000006
First Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,199.98,2,0.0,87.9912,0.44000000000000006
Standard Class,Corporate,United States,Hattiesburg,Mississippi,39401,South,Technology,Accessories,239.7,6,0.0,105.468,0.44000000000000006
First Class,Home Office,United States,Newark,Delaware,19711,East,Technology,Accessories,119.85,3,0.0,52.734,0.44000000000000006
Standard Class,Corporate,United States,Coachella,California,92236,West,Technology,Accessories,99.99,1,0.0,43.9956,0.44000000000000006
Standard Class,Consumer,United States,Oceanside,California,92054,West,Furniture,Furnishings,47.12,8,0.0,20.7328,0.44000000000000006
Standard Class,Consumer,United States,Columbia,Maryland,21044,East,Technology,Accessories,59.98,2,0.0,26.3912,0.44000000000000006
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,843.9,2,0.0,371.316,0.44
First Class,Consumer,United States,Green Bay,Wisconsin,54302,Central,Technology,Accessories,468.9,6,0.0,206.316,0.44
First Class,Consumer,United States,San Francisco,California,94109,West,Technology,Accessories,209.93,7,0.0,92.3692,0.44
Standard Class,Home Office,United States,Roseville,Minnesota,55113,Central,Furniture,Furnishings,29.22,3,0.0,12.8568,0.44
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,22.0,10,0.0,9.68,0.44
First Class,Home Office,United States,San Francisco,California,94110,West,Technology,Accessories,0.99,1,0.0,0.4356,0.44
Same Day,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,1687.8,4,0.0,742.632,0.44
First Class,Consumer,United States,Roswell,Georgia,30076,South,Technology,Accessories,149.95,5,0.0,65.978,0.44
Standard Class,Corporate,United States,Fayetteville,Arkansas,72701,South,Furniture,Furnishings,8.92,4,0.0,3.9248,0.44
Same Day,Home Office,United States,Fremont,Nebraska,68025,Central,Furniture,Furnishings,15.92,2,0.0,7.0048,0.44
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Art,13.04,4,0.0,5.7376,0.44
Second Class,Corporate,United States,Brentwood,California,94513,West,Furniture,Furnishings,23.88,3,0.0,10.5072,0.44
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,22.23,1,0.0,9.7812,0.44
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Furnishings,63.68,8,0.0,28.0192,0.44
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,468.9,6,0.0,206.316,0.44
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Technology,Accessories,843.9,2,0.0,371.316,0.44
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Technology,Accessories,234.45,3,0.0,103.158,0.44
Second Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,7.04,4,0.0,3.0976,0.44
Second Class,Corporate,United States,Visalia,California,93277,West,Technology,Accessories,7.92,8,0.0,3.4848,0.44
Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,390.75,5,0.0,171.93,0.44
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,15.96,7,0.0,7.0224,0.44
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,29.22,3,0.0,12.8568,0.44
First Class,Corporate,United States,New York City,New York,10011,East,Technology,Accessories,899.91,9,0.0,395.9604,0.44
Second Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,24.75,5,0.0,10.89,0.44
Same Day,Corporate,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Art,255.85,7,0.0,112.574,0.44
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292,0.44
Standard Class,Consumer,United States,Jackson,Mississippi,39212,South,Furniture,Furnishings,133.38,6,0.0,58.6872,0.44
Standard Class,Home Office,United States,Milford,Connecticut,6460,East,Technology,Accessories,199.75,5,0.0,87.89,0.44
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Furnishings,23.88,3,0.0,10.5072,0.44
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,37.05,3,0.0,16.302,0.44
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,0.44
Standard Class,Home Office,United States,Cambridge,Massachusetts,2138,East,Furniture,Furnishings,26.72,1,0.0,11.7568,0.44
First Class,Home Office,United States,San Diego,California,92037,West,Technology,Accessories,199.75,5,0.0,87.89,0.44
Standard Class,Home Office,United States,Providence,Rhode Island,2908,East,Technology,Accessories,1687.8,4,0.0,742.632,0.44
First Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,78.15,1,0.0,34.386,0.44
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,12.35,1,0.0,5.434,0.44
Standard Class,Home Office,United States,Paterson,New Jersey,7501,East,Furniture,Furnishings,8.92,4,0.0,3.9248,0.44
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Art,6.6,3,0.0,2.904,0.44
Second Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,77.92,8,0.0,34.2848,0.43999999999999995
Standard Class,Home Office,United States,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,111.15,5,0.0,48.906,0.43999999999999995
First Class,Consumer,United States,Clinton,Maryland,20735,East,Furniture,Furnishings,10.56,6,0.0,4.6464,0.43999999999999995
First Class,Corporate,United States,Bristol,Connecticut,6010,East,Office Supplies,Appliances,137.62,2,0.0,60.5528,0.43999999999999995
First Class,Corporate,United States,Overland Park,Kansas,66212,Central,Technology,Accessories,34.95,5,0.0,15.378,0.43999999999999995
Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,2.97,3,0.0,1.3068,0.43999999999999995
Second Class,Corporate,United States,Gulfport,Mississippi,39503,South,Furniture,Furnishings,86.45,7,0.0,38.038,0.43999999999999995
Standard Class,Home Office,United States,Richmond,Indiana,47374,Central,Technology,Accessories,159.8,4,0.0,70.312,0.43999999999999995
First Class,Consumer,United States,Fayetteville,Arkansas,72701,South,Technology,Accessories,34.95,5,0.0,15.378,0.43999999999999995
Second Class,Consumer,United States,Paterson,New Jersey,7501,East,Office Supplies,Appliances,275.24,4,0.0,121.1056,0.43999999999999995
Standard Class,Consumer,United States,Salem,Virginia,24153,South,Furniture,Furnishings,8.8,5,0.0,3.872,0.43999999999999995
Standard Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Furnishings,70.68,12,0.0,31.0992,0.43999999999999995
Same Day,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,13.48,4,0.0,5.9312,0.43999999999999995
Second Class,Consumer,United States,Cranston,Rhode Island,2920,East,Furniture,Furnishings,17.67,3,0.0,7.7748,0.43999999999999995
Standard Class,Home Office,United States,San Francisco,California,94122,West,Furniture,Furnishings,4.95,1,0.0,2.178,0.43999999999999995
Standard Class,Consumer,United States,Brentwood,California,94513,West,Technology,Accessories,79.9,2,0.0,35.156,0.43999999999999995
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,89.97,3,0.0,39.5868,0.43999999999999995
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,Office Supplies,Appliances,137.62,2,0.0,60.5528,0.43999999999999995
Second Class,Corporate,United States,Los Angeles,California,90004,West,Technology,Accessories,299.97,3,0.0,131.9868,0.43999999999999995
Second Class,Consumer,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,111.15,5,0.0,48.906,0.43999999999999995
Standard Class,Corporate,United States,San Francisco,California,94110,West,Technology,Accessories,89.97,3,0.0,39.5868,0.43999999999999995
First Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,5.28,3,0.0,2.3232,0.43999999999999995
Standard Class,Corporate,United States,Fayetteville,Arkansas,72701,South,Technology,Accessories,159.8,4,0.0,70.312,0.43999999999999995
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,2.2,1,0.0,0.968,0.43999999999999995
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Machines,350.973,3,0.1,152.0883,0.43333333333333335
First Class,Consumer,United States,Edmonds,Washington,98026,West,Furniture,Furnishings,80.96,4,0.0,34.8128,0.43000000000000005
Standard Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Appliances,56.65,5,0.0,24.3595,0.43000000000000005
First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,38.29,7,0.0,16.4647,0.43000000000000005
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Furniture,Furnishings,5.47,1,0.0,2.3521,0.43000000000000005
First Class,Home Office,United States,New Rochelle,New York,10801,East,Technology,Machines,69.99,1,0.0,30.0957,0.43000000000000005
Second Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Art,13.12,4,0.0,5.6416,0.43000000000000005
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0.0,1.4104,0.43000000000000005
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Technology,Accessories,91.96,4,0.0,39.5428,0.43000000000000005
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,0.43000000000000005
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Furniture,Furnishings,40.48,2,0.0,17.4064,0.43000000000000005
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,20.24,1,0.0,8.7032,0.43000000000000005
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Furnishings,79.92,4,0.0,34.3656,0.43
First Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Accessories,299.94,6,0.0,128.9742,0.43
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,799.96,4,0.0,343.9828,0.43
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Art,8.0,5,0.0,3.44,0.43
Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,1399.93,7,0.0,601.9699,0.43
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,90.64,8,0.0,38.9752,0.43
Second Class,Home Office,United States,Jackson,Mississippi,39212,South,Technology,Accessories,599.97,3,0.0,257.9871,0.43
First Class,Corporate,United States,San Francisco,California,94122,West,Technology,Accessories,36.51,1,0.0,15.6993,0.43
Standard Class,Home Office,United States,Springfield,Missouri,65807,Central,Technology,Accessories,21.2,2,0.0,9.116,0.43
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Furnishings,39.96,2,0.0,17.1828,0.43
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,1928.78,7,0.0,829.3754,0.43
Standard Class,Corporate,United States,Oklahoma City,Oklahoma,73120,Central,Furniture,Furnishings,30.36,4,0.0,13.0548,0.43
Standard Class,Corporate,United States,Hackensack,New Jersey,7601,East,Furniture,Furnishings,87.54,3,0.0,37.6422,0.43
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Technology,Accessories,13.98,2,0.0,6.0114,0.43
Standard Class,Corporate,United States,Lafayette,Louisiana,70506,South,Technology,Accessories,99.98,2,0.0,42.9914,0.43
Same Day,Consumer,United States,San Francisco,California,94109,West,Technology,Accessories,199.99,1,0.0,85.9957,0.43
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,24.3,5,0.0,10.449,0.43
Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Appliances,675.12,3,0.0,290.3016,0.43
Same Day,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Appliances,22.66,2,0.0,9.7438,0.43
Standard Class,Consumer,United States,East Orange,New Jersey,7017,East,Technology,Accessories,31.8,3,0.0,13.674,0.43
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,0.43
Second Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Art,16.4,5,0.0,7.052,0.43
Second Class,Consumer,United States,San Diego,California,92105,West,Technology,Accessories,148.32,9,0.0,63.7776,0.43
Standard Class,Consumer,United States,Fayetteville,Arkansas,72701,South,Technology,Accessories,399.98,2,0.0,171.9914,0.43
Same Day,Consumer,United States,Santa Ana,California,92704,West,Technology,Accessories,1399.93,7,0.0,601.9699,0.43
Second Class,Consumer,United States,Oceanside,New York,11572,East,Technology,Accessories,13.98,2,0.0,6.0114,0.43
Standard Class,Consumer,United States,Dearborn Heights,Michigan,48127,Central,Technology,Accessories,99.98,2,0.0,42.9914,0.43
Standard Class,Corporate,United States,Burlington,Vermont,5408,East,Technology,Accessories,99.98,2,0.0,42.9914,0.43
Second Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Appliances,33.99,3,0.0,14.6157,0.43
Standard Class,Home Office,United States,Seattle,Washington,98115,West,Furniture,Furnishings,22.77,3,0.0,9.7911,0.43
Second Class,Corporate,United States,Richmond,Kentucky,40475,South,Technology,Accessories,32.96,2,0.0,14.1728,0.43
Standard Class,Consumer,United States,New Rochelle,New York,10801,East,Furniture,Furnishings,60.72,3,0.0,26.1096,0.43
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,11.2,7,0.0,4.816,0.43
Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,145.9,5,0.0,62.737,0.43
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Technology,Machines,209.97,3,0.0,90.2871,0.43
Second Class,Corporate,United States,Los Angeles,California,90045,West,Technology,Accessories,109.53,3,0.0,47.0979,0.43
Standard Class,Corporate,United States,Linden,New Jersey,7036,East,Technology,Accessories,115.36,7,0.0,49.6048,0.43
First Class,Home Office,United States,Pico Rivera,California,90660,West,Furniture,Furnishings,145.9,5,0.0,62.737,0.43
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Furniture,Furnishings,19.98,1,0.0,8.5914,0.43
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Accessories,249.95,5,0.0,107.4785,0.43
First Class,Consumer,United States,San Francisco,California,94110,West,Technology,Accessories,199.96,4,0.0,85.9828,0.43
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Accessories,20.97,3,0.0,9.0171,0.43
Second Class,Home Office,United States,Yonkers,New York,10701,East,Technology,Accessories,163.96,4,0.0,70.5028,0.42999999999999994
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,14.56,2,0.0,6.2608,0.42999999999999994
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,3.2,2,0.0,1.376,0.42999999999999994
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,14.56,2,0.0,6.2608,0.42999999999999994
First Class,Corporate,United States,Springfield,Virginia,22153,South,Furniture,Furnishings,29.12,4,0.0,12.5216,0.42999999999999994
Second Class,Corporate,United States,Dover,New Hampshire,3820,East,Furniture,Furnishings,139.86,7,0.0,60.1398,0.42999999999999994
Standard Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,27.58,2,0.0,11.5836,0.42000000000000004
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Art,12.42,3,0.0,5.2164,0.42000000000000004
Second Class,Home Office,United States,Providence,Rhode Island,2908,East,Technology,Accessories,199.98,2,0.0,83.9916,0.42000000000000004
Standard Class,Corporate,United States,Des Moines,Iowa,50315,Central,Furniture,Furnishings,34.58,7,0.0,14.5236,0.42000000000000004
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,24.7,5,0.0,10.374,0.42000000000000004
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,12.42,3,0.0,5.2164,0.42000000000000004
Standard Class,Corporate,United States,Lawrence,Massachusetts,1841,East,Furniture,Furnishings,31.4,5,0.0,13.188,0.42000000000000004
Standard Class,Consumer,United States,Jackson,Michigan,49201,Central,Technology,Accessories,59.98,2,0.0,25.1916,0.42000000000000004
Standard Class,Consumer,United States,Citrus Heights,California,95610,West,Furniture,Furnishings,129.39,3,0.0,54.3438,0.42000000000000004
Standard Class,Corporate,United States,Rochester,New York,14609,East,Furniture,Furnishings,69.08,11,0.0,29.0136,0.42000000000000004
First Class,Corporate,United States,Anaheim,California,92804,West,Furniture,Furnishings,131.88,7,0.0,55.3896,0.42000000000000004
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,99.3,10,0.0,41.706,0.42000000000000004
Standard Class,Home Office,United States,San Diego,California,92024,West,Furniture,Furnishings,26.25,3,0.0,11.025,0.42000000000000004
Standard Class,Consumer,United States,Los Angeles,California,90036,West,Furniture,Furnishings,474.43,11,0.0,199.2606,0.42000000000000004
Standard Class,Home Office,United States,Waterbury,Connecticut,6708,East,Technology,Accessories,99.99,1,0.0,41.9958,0.42000000000000004
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,61.0,5,0.0,25.62,0.42000000000000004
Standard Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,199.98,2,0.0,83.9916,0.42000000000000004
Standard Class,Corporate,United States,Saint Cloud,Minnesota,56301,Central,Technology,Accessories,655.9,5,0.0,275.478,0.42000000000000004
Standard Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Art,49.65,5,0.0,20.853,0.42000000000000004
Standard Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,68.95,5,0.0,28.959,0.42
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,50.32,4,0.0,21.1344,0.42
First Class,Consumer,United States,Draper,Utah,84020,West,Furniture,Furnishings,25.16,2,0.0,10.5672,0.42
First Class,Consumer,United States,Little Rock,Arkansas,72209,South,Technology,Accessories,179.94,6,0.0,75.5748,0.42
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Furnishings,37.68,2,0.0,15.8256,0.42
Standard Class,Home Office,United States,Trenton,Michigan,48183,Central,Furniture,Furnishings,53.88,6,0.0,22.6296,0.42
Standard Class,Consumer,United States,San Diego,California,92105,West,Furniture,Furnishings,36.6,3,0.0,15.372,0.42
Standard Class,Consumer,United States,Las Cruces,New Mexico,88001,West,Furniture,Furnishings,41.37,3,0.0,17.3754,0.42
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,36.24,1,0.0,15.2208,0.42
First Class,Consumer,United States,Temecula,California,92592,West,Technology,Accessories,36.24,1,0.0,15.2208,0.42
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,0.42
First Class,Consumer,United States,Boise,Idaho,83704,West,Technology,Accessories,89.97,3,0.0,37.7874,0.42
Second Class,Consumer,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,18.84,3,0.0,7.9128,0.42
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Furnishings,43.13,1,0.0,18.1146,0.42
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Technology,Accessories,36.24,1,0.0,15.2208,0.42
Standard Class,Home Office,United States,Saginaw,Michigan,48601,Central,Furniture,Furnishings,19.76,4,0.0,8.2992,0.42
Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,35.92,4,0.0,15.0864,0.42
Standard Class,Home Office,United States,Las Cruces,New Mexico,88001,West,Office Supplies,Art,8.28,2,0.0,3.4776,0.42
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Furnishings,24.4,2,0.0,10.248,0.42
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Furnishings,4.16,2,0.0,1.7472,0.42
Second Class,Consumer,United States,Lakewood,California,90712,West,Furniture,Furnishings,94.2,5,0.0,39.564,0.42
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,29.79,3,0.0,12.5118,0.42
Second Class,Consumer,United States,Lawrence,Indiana,46226,Central,Technology,Accessories,393.54,3,0.0,165.2868,0.42
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Technology,Accessories,899.91,9,0.0,377.9622,0.42
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,16.56,4,0.0,6.9552,0.42
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Technology,Accessories,89.97,3,0.0,37.7874,0.42
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,6.24,3,0.0,2.6208,0.42
Standard Class,Consumer,United States,Westminster,California,92683,West,Furniture,Furnishings,18.84,3,0.0,7.9128,0.42
Same Day,Consumer,United States,Seattle,Washington,98103,West,Technology,Accessories,144.96,4,0.0,60.8832,0.42
Standard Class,Home Office,United States,Eagan,Minnesota,55122,Central,Office Supplies,Art,29.79,3,0.0,12.5118,0.42
Standard Class,Consumer,United States,Washington,District of Columbia,20016,East,Furniture,Furnishings,41.37,3,0.0,17.3754,0.42
Standard Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,14.82,3,0.0,6.2244,0.42
Second Class,Consumer,United States,Hampton,Virginia,23666,South,Office Supplies,Appliances,44.43,3,0.0,18.6606,0.42
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Furnishings,6.28,1,0.0,2.6376,0.42
Second Class,Home Office,United States,Washington,District of Columbia,20016,East,Furniture,Furnishings,37.68,2,0.0,15.8256,0.42
